"Country","Region","City","Surface","Bedrooms","Density","houseid","date","price"
"USA","California","Los Angeles",223.4245,5,9913,3,"2033-01-01",493534.50316683
"USA","California","Los Angeles",223.4245,5,9913,3,"2034-01-01",503944.845704718
"USA","California","Los Angeles",223.4245,5,9913,3,"2035-01-02",482947.411654076
"USA","California","Los Angeles",223.4245,5,9913,3,"2036-01-02",559767.149853772
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2027-01-02",886424.639427542
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2028-01-02",913017.462191982
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2029-01-01",939682.88674729
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2030-01-01",966275.585038005
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2031-01-02",992868.393759873
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2032-01-02",1019461.30010021
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2033-01-01",1046126.79085125
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2034-01-01",1072719.47335972
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2035-01-02",1099312.32492588
"Germany","North Rhine-Westphalia",NA,214.1345,4,9704.5,4,"2036-01-02",1125904.991687
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2027-01-02",545173.105990724
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2028-01-02",628572.345254707
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2029-01-01",654668.189688139
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2030-01-01",789126.64883845
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2031-01-02",744702.019451979
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2032-01-02",759751.65058743
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2033-01-01",855236.418842996
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2034-01-01",891379.657091858
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2035-01-02",974680.179841667
"Australia","Victoria",NA,116.9611,4,1634.5,6,"2036-01-02",945053.899944852
"UK","Wales",NA,79.4295,6,7577,7,"2027-01-02",594172.260623257
"UK","Wales",NA,79.4295,6,7577,7,"2028-01-02",630324.668976075
"UK","Wales",NA,79.4295,6,7577,7,"2029-01-01",751571.829163821
"UK","Wales",NA,79.4295,6,7577,7,"2030-01-01",765101.761263924
"UK","Wales",NA,79.4295,6,7577,7,"2031-01-02",807669.589165944
"UK","Wales",NA,79.4295,6,7577,7,"2032-01-02",920544.452809813
"UK","Wales",NA,79.4295,6,7577,7,"2033-01-01",1082413.64105743
"UK","Wales",NA,79.4295,6,7577,7,"2034-01-01",1008983.09063238
"UK","Wales",NA,79.4295,6,7577,7,"2035-01-02",1113276.4663782
"UK","Wales",NA,79.4295,6,7577,7,"2036-01-02",1195946.03269135
"South Korea","Seoul",NA,219.8014,3,1357,9,"2027-01-02",2074134.39490552
"South Korea","Seoul",NA,219.8014,3,1357,9,"2028-01-02",2097799.75476306
"South Korea","Seoul",NA,219.8014,3,1357,9,"2029-01-01",2037400.80756257
"South Korea","Seoul",NA,219.8014,3,1357,9,"2030-01-01",2128757.44582312
"South Korea","Seoul",NA,219.8014,3,1357,9,"2031-01-02",2096682.9478093
"South Korea","Seoul",NA,219.8014,3,1357,9,"2032-01-02",2118785.71739929
"South Korea","Seoul",NA,219.8014,3,1357,9,"2033-01-01",2087754.3758047
"South Korea","Seoul",NA,219.8014,3,1357,9,"2034-01-01",2105875.58753455
"South Korea","Seoul",NA,219.8014,3,1357,9,"2035-01-02",2109005.59840815
"South Korea","Seoul",NA,219.8014,3,1357,9,"2036-01-02",2097809.77180075
"UK","England","Birmingham",249.6223,6,1219.5,11,"2027-01-02",1824252.69261107
"UK","England","Birmingham",249.6223,6,1219.5,11,"2028-01-02",1935249.33895875
"UK","England","Birmingham",249.6223,6,1219.5,11,"2029-01-01",2307507.47536507
"UK","England","Birmingham",249.6223,6,1219.5,11,"2030-01-01",2349047.64258621
"UK","England","Birmingham",249.6223,6,1219.5,11,"2031-01-02",2479741.18015966
"UK","England","Birmingham",249.6223,6,1219.5,11,"2032-01-02",2826294.33919546
"UK","England","Birmingham",249.6223,6,1219.5,11,"2033-01-01",3323271.93657059
"UK","England","Birmingham",249.6223,6,1219.5,11,"2034-01-01",3097822.36881005
"UK","England","Birmingham",249.6223,6,1219.5,11,"2035-01-02",3418028.28237159
"UK","England","Birmingham",249.6223,6,1219.5,11,"2036-01-02",3671843.8657271
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2027-01-02",629533.953649038
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2028-01-02",779907.915792965
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2029-01-01",631265.998446199
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2030-01-01",718544.243793327
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2031-01-02",810091.794964776
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2032-01-02",649052.160541592
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2033-01-01",678813.486265293
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2034-01-01",647205.91766003
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2035-01-02",695455.927367771
"Mexico","Nuevo Leon",NA,170.7502,4,6266.5,12,"2036-01-02",685088.950502053
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2027-01-02",2359252.30281637
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2028-01-02",2720164.91043505
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2029-01-01",2833095.42809444
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2030-01-01",3414968.27893332
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2031-01-02",3222719.41700289
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2032-01-02",3287847.12877496
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2033-01-01",3701060.21084997
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2034-01-01",3857471.11434623
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2035-01-02",4217956.52340938
"Australia","Victoria",NA,250.1797,1,3506.5,14,"2036-01-02",4089747.94469854
"China","Guangdong",NA,700,6,0,15,"2027-01-02",1164919.335327
"China","Guangdong",NA,208.1889,6,8229,15,"2028-01-02",1470823.35702854
"China","Guangdong",NA,208.1889,6,8229,15,"2029-01-01",1744370.88451225
"China","Guangdong",NA,208.1889,6,8229,15,"2030-01-01",1965529.55077998
"China","Guangdong",NA,208.1889,6,8229,15,"2031-01-02",2580709.63569027
"China","Guangdong",NA,208.1889,6,8229,15,"2032-01-02",2473534.74945889
"China","Guangdong",NA,208.1889,6,8229,15,"2033-01-01",2880658.20143569
"China","Guangdong",NA,208.1889,6,8229,15,"2034-01-01",2612467.83187717
"China","Guangdong",NA,208.1889,6,8229,15,"2035-01-02",2523212.7621307
"China","Guangdong",NA,208.1889,6,8229,15,"2036-01-02",2489218.79262622
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2027-01-02",247025.393649038
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2028-01-02",397399.355792965
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2029-01-01",248757.438446199
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2030-01-01",336035.683793327
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2031-01-02",427583.234964776
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2032-01-02",266543.600541592
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2033-01-01",296304.926265293
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2034-01-01",264697.35766003
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2035-01-02",312947.367367771
"Mexico","Nuevo Leon",NA,115.5676,1,1846,18,"2036-01-02",302580.390502053
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2027-01-02",648353.833649038
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2028-01-02",798727.795792965
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2029-01-01",650085.878446199
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2030-01-01",737364.123793327
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2031-01-02",828911.674964776
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2032-01-02",667872.040541592
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2033-01-01",697633.366265293
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2034-01-01",666025.79766003
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2035-01-02",714275.807367771
"Mexico","Nuevo Leon",NA,94.758,4,6302,19,"2036-01-02",703908.830502053
"USA","New York","Rochester",246.8353,5,2977,22,"2027-01-02",1584028.74372312
"USA","New York","Rochester",246.8353,5,2977,22,"2028-01-02",1572587.55019182
"USA","New York","Rochester",246.8353,5,2977,22,"2029-01-01",1683674.62540703
"USA","New York","Rochester",246.8353,5,2977,22,"2030-01-01",1875618.98117777
"USA","New York","Rochester",246.8353,5,2977,22,"2031-01-02",1848795.15072926
"USA","New York","Rochester",246.8353,5,2977,22,"2032-01-02",1947709.10831616
"USA","New York","Rochester",246.8353,5,2977,22,"2033-01-01",1963022.60064448
"USA","New York","Rochester",246.8353,5,2977,22,"2034-01-01",2004429.60407903
"USA","New York","Rochester",246.8353,5,2977,22,"2035-01-02",1920912.86816539
"USA","New York","Rochester",246.8353,5,2977,22,"2036-01-02",2226461.60988536
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2027-01-02",1079034.57452031
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2028-01-02",1240032.04965594
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2029-01-01",1282779.20835785
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2030-01-01",1268147.03516214
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2031-01-02",1326775.13771765
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2032-01-02",1374165.62138119
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2033-01-01",1386890.14354768
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2034-01-01",1467512.07537723
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2035-01-02",1592711.02382434
"Canada","Quebec","Quebec City",432.7282,5,3308.5,23,"2036-01-02",1595466.87037742
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2027-01-02",1832665.49010933
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2028-01-02",2113022.14384176
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2029-01-01",2200746.48864689
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2030-01-01",2652744.90021608
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2031-01-02",2503406.12269233
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2032-01-02",2553997.28230335
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2033-01-01",2874980.90693586
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2034-01-01",2996480.78415214
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2035-01-02",3276505.59035422
"Australia","New South Wales","Wollongong",450.0076,1,9863,24,"2036-01-02",3176913.25872491
"USA","California","San Francisco",280.4651,2,999,25,"2027-01-02",1007332.6362845
"USA","California","San Francisco",280.4651,2,999,25,"2028-01-02",1000056.85481401
"USA","California","San Francisco",280.4651,2,999,25,"2029-01-01",1070700.52364966
"USA","California","San Francisco",280.4651,2,999,25,"2030-01-01",1192763.85806317
"USA","California","San Francisco",280.4651,2,999,25,"2031-01-02",1175705.77526575
"USA","California","San Francisco",280.4651,2,999,25,"2032-01-02",1238608.18602258
"USA","California","San Francisco",280.4651,2,999,25,"2033-01-01",1248346.52565107
"USA","California","San Francisco",280.4651,2,999,25,"2034-01-01",1274678.50262876
"USA","California","San Francisco",280.4651,2,999,25,"2035-01-02",1221567.62664925
"USA","California","San Francisco",280.4651,2,999,25,"2036-01-02",1415875.4901657
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2027-01-02",3742215.03634406
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2028-01-02",4724908.51131182
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2029-01-01",5603659.20199113
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2030-01-01",6314114.64832689
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2031-01-02",8290334.02592394
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2032-01-02",7946042.83029284
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2033-01-01",9253896.05019687
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2034-01-01",8392354.82315316
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2035-01-02",8105629.67923456
"China","Beijing","Chaoyang",416.2849,1,8777.5,26,"2036-01-02",7996426.62974705
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2027-01-02",1638271.64364904
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2028-01-02",1788645.60579297
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2029-01-01",1640003.6884462
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2030-01-01",1727281.93379333
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2031-01-02",1818829.48496478
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2032-01-02",1657789.85054159
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2033-01-01",1687551.17626529
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2034-01-01",1655943.60766003
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2035-01-02",1704193.61736777
"Mexico","Nuevo Leon",NA,172.0508,3,8695,27,"2036-01-02",1693826.64050205
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2027-01-02",1095251.21950707
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2028-01-02",1064568.47437807
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2029-01-01",1034266.6292624
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2030-01-01",1055020.20487437
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2031-01-02",1051968.81275117
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2032-01-02",1062063.03537699
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2033-01-01",1075308.10040205
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2034-01-01",1073865.4555485
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2035-01-02",1061536.47269649
"Italy","Lombardy","Brescia",199.4563,6,5157,28,"2036-01-02",1060576.87529508
"India","Delhi",NA,700,5,0,29,"2027-01-02",930134.105253876
"India","Delhi",NA,379.7752,5,7447,29,"2028-01-02",986814.678352416
"India","Delhi",NA,379.7752,5,7447,29,"2029-01-01",1151474.21838194
"India","Delhi",NA,379.7752,5,7447,29,"2030-01-01",1267400.66002797
"India","Delhi",NA,379.7752,5,7447,29,"2031-01-02",1131483.22643274
"India","Delhi",NA,379.7752,5,7447,29,"2032-01-02",962707.111374253
"India","Delhi",NA,379.7752,5,7447,29,"2033-01-01",857953.051881635
"India","Delhi",NA,379.7752,5,7447,29,"2034-01-01",648924.28910867
"India","Delhi",NA,379.7752,5,7447,29,"2035-01-02",588290.889750992
"India","Delhi",NA,379.7752,5,7447,29,"2036-01-02",483099.012397212
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2027-01-02",292873.409427542
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2028-01-02",301659.695291982
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2029-01-01",310469.797914687
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2030-01-01",319255.959305403
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2031-01-02",328042.23112727
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2032-01-02",336828.60056761
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2033-01-01",345638.76938604
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2034-01-01",354424.914994513
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2035-01-02",363211.229660674
"Germany","Bavaria","Nuremberg",62.4288,5,9125,30,"2036-01-02",371997.359521791
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2027-01-02",923026.229427542
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2028-01-02",950717.099891982
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2029-01-01",978483.580497153
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2030-01-01",1006174.32648787
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2031-01-02",1033865.18290974
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2032-01-02",1061556.13695008
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2033-01-01",1089322.68375097
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2034-01-01",1117013.41395944
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2035-01-02",1144704.31322561
"Germany","Bavaria","Munich",91.2278,2,1154,31,"2036-01-02",1172395.02768672
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2027-01-02",3665735.20942754
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2028-01-02",3775707.34929198
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2029-01-01",3885980.5274325
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2030-01-01",3995952.54282321
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2031-01-02",4105924.66864508
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2032-01-02",4215896.89208542
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2033-01-01",4326170.13642166
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2034-01-01",4436142.13603013
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2035-01-02",4546114.30469629
"Germany","North Rhine-Westphalia",NA,406.1588,2,7799,33,"2036-01-02",4656086.28855741
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2027-01-02",1952495.96942754
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2028-01-02",2011070.93209198
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2029-01-01",2069806.11884839
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2030-01-01",2128380.9570391
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2031-01-02",2186955.90566097
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2032-01-02",2245530.95190131
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2033-01-01",2304266.20485344
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2034-01-01",2362841.02726191
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2035-01-02",2421416.01872807
"Germany","Bavaria","Munich",374.4799,3,6989.5,34,"2036-01-02",2479990.82538919
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2027-01-02",1033131.22806698
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2028-01-02",1191177.09924779
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2029-01-01",1240630.07392812
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2030-01-01",1495435.80718877
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2031-01-02",1411248.83719681
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2032-01-02",1439768.66645117
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2033-01-01",1620717.24004284
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2034-01-01",1689210.54557835
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2035-01-02",1847069.34385993
"Australia","New South Wales","Sydney",192.2101,2,8836.5,36,"2036-01-02",1790926.01140917
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2027-01-02",2193519.38950707
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2028-01-02",2162836.64437807
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2029-01-01",2132534.7992624
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2030-01-01",2153288.37487437
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2031-01-02",2150236.98275117
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2032-01-02",2160331.20537699
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2033-01-01",2173576.27040205
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2034-01-01",2172133.6255485
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2035-01-02",2159804.64269649
"Italy","Lombardy","Bergamo",398.4481,2,1285,37,"2036-01-02",2158845.04529508
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2027-01-02",1098842.76385528
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2028-01-02",1262795.72211002
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2029-01-01",1306327.60433524
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2030-01-01",1291426.82356765
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2031-01-02",1351131.18130829
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2032-01-02",1399391.62752471
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2033-01-01",1412349.73789144
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2034-01-01",1494451.67279777
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2035-01-02",1621948.93914305
"Canada","Ontario","Toronto",355.7141,4,7936.5,39,"2036-01-02",1624755.37566943
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2027-01-02",1285349.03950707
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2028-01-02",1254666.29437807
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2029-01-01",1224364.4492624
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2030-01-01",1245118.02487437
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2031-01-02",1242066.63275117
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2032-01-02",1252160.85537699
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2033-01-01",1265405.92040205
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2034-01-01",1263963.2755485
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2035-01-02",1251634.29269649
"Italy","Lombardy","Milan",334.8116,1,6446.5,40,"2036-01-02",1250674.69529508
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2027-01-02",2687294.82068673
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2028-01-02",3098390.56488348
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2029-01-01",3227023.51984183
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2030-01-01",3889802.95063477
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2031-01-02",3670822.82276466
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2032-01-02",3745006.2249889
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2033-01-01",4215674.56935147
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2034-01-01",4393833.64558196
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2035-01-02",4804442.79134908
"Australia","Victoria",NA,368.3485,6,9155.5,41,"2036-01-02",4658407.43551793
"Canada","Quebec","Montreal",700,4,0,45,"2027-01-02",2164529.3532874
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2028-01-02",2487488.19906038
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2029-01-01",2573238.44466399
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2030-01-01",2543886.49512283
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2031-01-02",2661493.7080014
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2032-01-02",2756558.40321918
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2033-01-01",2782083.62955232
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2034-01-01",2943810.17852911
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2035-01-02",3194957.64434126
"Canada","Quebec","Montreal",225.3754,4,2014,45,"2036-01-02",3200485.83676268
"China","Beijing","Fengtai",76.6425,5,1393,46,"2027-01-02",469478.383646749
"China","Beijing","Fengtai",76.6425,5,1393,46,"2028-01-02",592761.877451207
"China","Beijing","Fengtai",76.6425,5,1393,46,"2029-01-01",703005.262687463
"China","Beijing","Fengtai",76.6425,5,1393,46,"2030-01-01",792135.222179207
"China","Beijing","Fengtai",76.6425,5,1393,46,"2031-01-02",1040061.18851599
"China","Beijing","Fengtai",76.6425,5,1393,46,"2032-01-02",996868.247314353
"China","Beijing","Fengtai",76.6425,5,1393,46,"2033-01-01",1160944.55232744
"China","Beijing","Fengtai",76.6425,5,1393,46,"2034-01-01",1052860.17481591
"China","Beijing","Fengtai",76.6425,5,1393,46,"2035-01-02",1016889.16411491
"China","Beijing","Fengtai",76.6425,5,1393,46,"2036-01-02",1003189.1306682
"China","Guangdong",NA,244.8844,2,5197.5,47,"2027-01-02",909655.853508119
